직업코드,직업명,직업분류,NCS능력단위명,NCS능력단위정의,NCS대분류,NCS중분류,NCS소분류,능력단위코드
K000007540,해양경찰관,"경찰관, 소방관 및 교도관",보험계약심사,"환경적 인수위험평가란 피보험자의 환경적 위험을 정확하게 평가하기 위하여 환경적 심사정보 수집, 환경적 심사위험 평가, 환경적 가입조건 결정을 하는 능력이다.",금융·보험,보험,보험영업·계약,0302020203
K000007570,교도관,"경찰관, 소방관 및 교도관",디지털포렌식,증거 제출이란 분석 절차와 결과를 문서화하고 의뢰자에게 제출한 후 법정이나 해당기관에서 증언하는 능력이다.,정보통신,정보기술,정보보호,2001060807
K000007570,교도관,"경찰관, 소방관 및 교도관",도자공예,이장주입성형은 석고제형 사용형에 액체상태의 이장을 부어서 기물을 만드는 능력이다.,인쇄·목재·가구·공예,공예,공예,2202010214
K000007570,교도관,"경찰관, 소방관 및 교도관",석공예,"석재 부조 소조는 동물과 식물, 인체를 부조로 표현할 수 있는 능력이다.",인쇄·목재·가구·공예,공예,공예,2202010329
K000007508,부사관,군인,경호,경호교육훈련이란 경호원 및 경호업무관련자의 경호직무 수행능력을 향상시키기 위하여 직무능력향상계획을 수립하고 전문성을 개발하도록 훈련하는 능력이다.,경비·청소,경비,경비·경호,1101010203
K000007508,부사관,군인,진로지원,진로체험활동 실시란 대면/비대면 운영형태에 따라 진로체험활동을 구성하고 운영지도자교육을 통해 진로체험활동을 실행하고 평가·활용하는 능력이다.,사회복지·종교,상담,청소년지도,0702020306
K000007508,부사관,군인,경호,"경호운용지원이란 본 활동인 경호업무 수행에 필요한 인력 및 조직관리,행정처리, 법무행정, 경호업무와 관련한 고객요구사항처리 등과 같은 지원활동을 수행하는 능력이다.",경비·청소,경비,경비·경호,1101010212
K000001133,전문의사,"의사, 한의사 및 치과의사",지역사회위생관리,"감염병 예방관리란 지역사회에서 호흡기계 감염, 소화기계 감염, 피부점막감염, 매개곤충 감염, 기생충의 감염 발생을 예방하고 전파를 방지하는 능력이다.",보건·의료,보건,보건지원,0601020509
K000001133,전문의사,"의사, 한의사 및 치과의사",경량항공기조종,"경량항공기 항공안전보안 관리란 경량항공기의 안전한 비행을 위하여 항공기 운용매뉴얼, 항공기 정비매뉴얼, 항공안전, 승무원자원을 관리하고 확인하는 능력이다.",운전·운송,항공운전·운송,항공기조종운송,0904010110
K000001133,전문의사,"의사, 한의사 및 치과의사",근로자작업환경관리,"유해요인 관리란 근로자의 건강보호를 위하여 작업장에서 발생되는 물리적, 화학적, 생물학적 유해인자들의 노출을 최소화하기 위한 관리 능력이다.",환경·에너지·안전,산업안전보건,산업보건관리,2306020207
K000007472,치과의사,"의사, 한의사 및 치과의사",아이돌봄,"신체돌봄이란 일반적 발달 단계와 개인차를 고려하여 청결하고 안전하게배변관리와 목욕시키기를 수행하고, 아이의 성장발달 단계와 목적에 따라아이 달래기와 영양관리를 실시하며, 아이가 즐겁게 놀이활동을 하도록돕는 능력이다.",사회복지·종교,보육,보육,0703010305
K000007472,치과의사,"의사, 한의사 및 치과의사",보건교육,"보건교육 인프라 구축이란 보건교육의 환경조성, 협력자 연계, 자원봉사자조직을 관리하는 능력이다.",보건·의료,보건,보건지원,0601020307
K000007472,치과의사,"의사, 한의사 및 치과의사",해외취업관리,해외구인처 발굴이란 해외취업을 희망하는 구직자에게 검증된 구인처를제공하기 위한 발굴전략을 수립하고 수행하는 능력이다.,사업관리,사업관리,해외관리,0101020203
K000007504,일반의사,"의사, 한의사 및 치과의사",보건교육,"보건교육기획이란 보건교육 주제, 목적을 설정하고, 자원 활용 계획을 통하여 보건교육 수행과정 설계 및 평가 방법을 계획하는 능력이다.",보건·의료,보건,보건지원,0601020302
